ObjInfo{}
Version{2.0}
ModelType{AC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E-08, Pj=7.200000E-04, T=-4.000000E+01}
Input{Vj, f}
Output{Cj}
{Cj_Vj}
[Vj, Cj(f=0.)]
0.000000E+00, 1.744480E+01
-2.000000E-01, 1.607320E+01
-4.000000E-01, 1.526750E+01
-6.000000E-01, 1.447440E+01
-8.000000E-01, 1.390070E+01
-1.000000E+00, 1.313610E+01
-1.200000E+00, 1.268230E+01
-1.400000E+00, 1.230640E+01
-1.600000E+00, 1.183580E+01
-1.800000E+00, -2.166750E+04
-2.000000E+00, -2.897990E+04
-2.200000E+00, -3.596540E+04
-2.400000E+00, -4.249920E+04
-2.600000E+00, -4.851250E+04
-2.800000E+00, -5.400750E+04
-3.000000E+00, -5.900230E+04
-3.200000E+00, -6.354450E+04
-3.400000E+00, -6.769240E+04
-3.600000E+00, -7.145280E+04
