ObjInfo{}
Version{2.0}
ModelType{DC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E+04, Pj=7.200000E+02, T=-4.000000E+01}
Input{Vj, f}
Output{Ij}
{Ij_Vj}
[Vj, Ij(f=0.)]
-2.000000E+00, -1.540000E-11
-1.800000E+00, -4.550000E-12
-1.600000E+00, -1.190000E-12
-1.400000E+00, -5.100000E-13
-1.200000E+00, 7.000000E-13
-1.000000E+00, 1.210000E-12
-8.000000E-01, 2.360000E-12
-6.000000E-01, 1.910000E-12
-4.000000E-01, 2.790000E-12
-2.000000E-01, 3.630000E-12
2.980232E-08, 3.440000E-12
2.000000E-01, 4.300000E-12
4.000000E-01, 5.930000E-12
6.000000E-01, 3.906900E-08
8.000001E-01, 4.996600E-04
1.000000E+00, 1.829700E-02
1.200000E+00, 5.750300E-02
