ObjInfo{}
Version{2.0}
ModelType{DC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E+04, Pj=1.860000E+04, T=-4.000000E+01}
Input{Vj, f}
Output{Ij}
{Ij_Vj}
[Vj, Ij(f=0.)]
-2.000000E+00, -1.422000E-11
-1.800000E+00, -6.410000E-12
-1.600000E+00, -2.440000E-12
-1.400000E+00, 1.120000E-12
-1.200000E+00, -7.000000E-14
-1.000000E+00, 1.070000E-12
-8.000000E-01, 1.990000E-12
-6.000000E-01, 2.430000E-12
-4.000000E-01, 2.070000E-12
-2.000000E-01, 2.760000E-12
2.980232E-08, 2.450000E-12
2.000000E-01, 4.010000E-12
4.000000E-01, 2.767000E-11
6.000000E-01, 5.653500E-08
8.000001E-01, 5.564700E-04
1.000000E+00, 1.979400E-02
1.200000E+00, 6.563400E-02
