ObjInfo{}
Version{2.0}
ModelType{AC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E-08, Pj=7.200000E-04, T=2.500000E+01}
Input{Vj, f}
Output{Cj}
{Cj_Vj}
[Vj, Cj(f=0.)]
0.000000E+00, 1.817260E+01
-2.000000E-01, 1.672860E+01
-4.000000E-01, 1.564810E+01
-6.000000E-01, 1.479460E+01
-8.000000E-01, 1.409720E+01
-1.000000E+00, 1.350890E+01
-1.200000E+00, 1.300180E+01
-1.400000E+00, 1.256060E+01
-1.600000E+00, 1.217060E+01
-1.800000E+00, 1.182190E+01
-2.000000E+00, 1.150700E+01
-2.200000E+00, 1.122180E+01
-2.400000E+00, 1.095960E+01
-2.600000E+00, 1.071870E+01
-2.800000E+00, 1.049650E+01
-3.000000E+00, 1.028910E+01
-3.200000E+00, 1.009590E+01
-3.400000E+00, 9.914640E+00
-3.600000E+00, 9.744880E+00
