ObjInfo{}
Version{2.0}
ModelType{DC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E+04, Pj=7.200000E+02, T=2.500000E+01}
Input{Vj, f}
Output{Ij}
{Ij_Vj}
[Vj, Ij(f=0.)]
-2.000000E+00, -2.234000E-11
-1.900000E+00, -7.650000E-12
-1.800000E+00, -3.620000E-12
-1.700000E+00, -1.640000E-12
-1.600000E+00, -7.800000E-13
-1.500000E+00, 1.200000E-13
-1.400000E+00, 8.000000E-13
-1.300000E+00, 9.400000E-13
-1.200000E+00, 1.170000E-12
-1.100000E+00, 1.390000E-12
-1.000000E+00, 1.730000E-12
-9.000000E-01, 1.810000E-12
-8.000000E-01, 1.930000E-12
-7.000000E-01, 2.160000E-12
-6.000000E-01, 2.190000E-12
-5.000000E-01, 2.290000E-12
-4.000000E-01, 2.680000E-12
-3.000000E-01, 2.610000E-12
-2.000000E-01, 2.580000E-12
-9.999997E-02, 2.720000E-12
2.980232E-08, 2.700000E-12
1.000000E-01, 3.050000E-12
2.000000E-01, 1.024000E-11
3.000000E-01, 3.245000E-10
4.000000E-01, 1.489900E-08
5.000001E-01, 6.986900E-07
6.000000E-01, 3.205500E-05
7.000000E-01, 8.065600E-04
8.000001E-01, 4.870600E-03
9.000000E-01, 1.542100E-02
1.000000E+00, 3.211100E-02
1.100000E+00, 3.999800E-02
1.200000E+00, 3.999800E-02
