ObjInfo{}
Version{2.0}
ModelType{DC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E+04, Pj=7.200000E+02, T=2.500000E+01}
Input{Vj, f}
Output{Ij}
{Ij_Vj}
[Vj, Ij(f=0.)]
0.000000E+00, 6.000000E-14
-5.000000E-01, -1.983000E-11
-1.000000E+00, -2.955000E-11
-1.500000E+00, -3.988000E-11
-2.000000E+00, -5.500000E-11
-2.500000E+00, -7.780000E-11
-3.000000E+00, -1.118100E-10
-3.500000E+00, -1.645300E-10
-4.000000E+00, -2.462400E-10
-4.500000E+00, -3.726800E-10
-5.000000E+00, -5.677500E-10
-5.500000E+00, -8.791100E-10
-6.000000E+00, -1.346500E-09
-6.500000E+00, -2.092800E-09
-7.000000E+00, -3.309700E-09
-7.500000E+00, -5.368000E-09
-8.000000E+00, -9.127000E-09
-8.500000E+00, -1.685800E-08
-9.000000E+00, -3.683200E-08
-9.500000E+00, -1.367200E-07
-1.000000E+01, -9.999800E-06
-1.050000E+01, -9.999800E-06
-1.100000E+01, -9.999900E-06
-1.150000E+01, -9.999900E-06
-1.200000E+01, -9.999900E-06
-1.250000E+01, -9.999800E-06
-1.300000E+01, -9.999800E-06
-1.350000E+01, -9.999800E-06
-1.400000E+01, -9.999800E-06
-1.450000E+01, -9.999800E-06
-1.500000E+01, -9.999800E-06
