ObjInfo{}
Version{2.0}
ModelType{AC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E-08, Pj=1.860000E-02, T=2.500000E+01}
Input{Vj, f}
Output{Cj}
{Cj_Vj}
[Vj, Cj(f=0.)]
0.000000E+00, 2.184920E+01
-2.000000E-01, 2.018330E+01
-4.000000E-01, 1.893920E+01
-6.000000E-01, 1.795830E+01
-8.000000E-01, 1.715790E+01
-1.000000E+00, 1.648390E+01
-1.200000E+00, 1.590620E+01
-1.400000E+00, 1.540260E+01
-1.600000E+00, 1.495790E+01
-1.800000E+00, 1.456070E+01
-2.000000E+00, 1.420280E+01
-2.200000E+00, 1.387840E+01
-2.400000E+00, 1.358100E+01
-2.600000E+00, 1.330710E+01
-2.800000E+00, 1.305190E+01
-3.000000E+00, 1.281630E+01
-3.200000E+00, 1.259610E+01
-3.400000E+00, 1.238980E+01
-3.600000E+00, 1.219610E+01
