ObjInfo{}
Version{2.0}
ModelType{DC}
DataType{d}
Delimitor{,}
Workingmode{FORWARD}
Instance{Area=1.800000E+04, Pj=1.860000E+04, T=2.500000E+01}
Input{Vj, f}
Output{Ij}
{Ij_Vj}
[Vj, Ij(f=0.)]
-2.000000E+00, -2.702000E-11
-1.900000E+00, -1.103000E-11
-1.800000E+00, -6.650000E-12
-1.700000E+00, -4.600000E-12
-1.600000E+00, -3.140000E-12
-1.500000E+00, -2.240000E-12
-1.400000E+00, -1.510000E-12
-1.300000E+00, -7.700000E-13
-1.200000E+00, -3.500000E-13
-1.100000E+00, 2.100000E-13
-1.000000E+00, 5.000000E-13
-9.000000E-01, 5.800000E-13
-8.000000E-01, 9.300000E-13
-7.000000E-01, 1.280000E-12
-6.000000E-01, 1.450000E-12
-5.000000E-01, 1.770000E-12
-4.000000E-01, 1.750000E-12
-3.000000E-01, 2.140000E-12
-2.000000E-01, 2.400000E-12
-9.999997E-02, 2.500000E-12
2.980232E-08, 3.000000E-12
1.000000E-01, 4.700000E-12
2.000000E-01, 3.388000E-11
3.000000E-01, 6.639500E-10
4.000000E-01, 2.195900E-08
5.000001E-01, 9.126700E-07
6.000000E-01, 3.954200E-05
7.000000E-01, 8.884500E-04
8.000001E-01, 5.011300E-03
9.000000E-01, 1.588300E-02
1.000000E+00, 3.391800E-02
1.100000E+00, 3.999800E-02
1.200000E+00, 3.999800E-02
