vg	V(n001)	V(n002)	I(Vdd)	I(Vg)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vdd=0  (Step: 1/11)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
1.000000000000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
2.000000000000000e+00	0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
3.000000000000000e+00	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
4.000000000000000e+00	0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
5.000000000000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
6.000000000000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
7.000000000000000e+00	0.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
8.000000000000000e+00	0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
9.000000000000000e+00	0.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
1.000000000000000e+01	0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
Step Information: Vdd=1  (Step: 2/11)
0.000000000000000e+00	1.000000e+00	0.000000e+00	-2.010000e-12	0.000000e+00	-1.010000e-12	2.010000e-12	0.000000e+00	-1.000000e-12
1.000000000000000e+00	1.000000e+00	1.000000e+00	-1.000000e-05	0.000000e+00	-1.010000e-12	1.000000e-05	0.000000e+00	-1.000000e-05
2.000000000000000e+00	1.000000e+00	2.000000e+00	-3.000000e-05	0.000000e+00	-1.010000e-12	3.000000e-05	0.000000e+00	-3.000000e-05
