vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/16)
0.000000000000000e+00	0.000000e+00	0.000000e+00	6.499139e-11
2.000000000000000e+00	0.000000e+00	2.000000e+00	0.000000e+00
4.000000000000000e+00	0.000000e+00	4.000000e+00	0.000000e+00
6.000000000000000e+00	-2.323048e-22	6.000000e+00	-4.942053e-29
8.000000000000000e+00	-1.526181e-31	8.000000e+00	5.029609e-32
1.000000000000000e+01	7.585393e-32	1.000000e+01	-2.514804e-32
1.200000000000000e+01	1.971753e-40	1.200000e+01	-6.561300e-41
1.400000000000000e+01	-4.909589e-41	1.400000e+01	1.637838e-41
1.600000000000000e+01	-0.000000e+00	1.600000e+01	0.000000e+00
1.800000000000000e+01	0.000000e+00	1.800000e+01	-0.000000e+00
2.000000000000000e+01	0.000000e+00	2.000000e+01	-0.000000e+00
2.200000000000000e+01	-0.000000e+00	2.200000e+01	0.000000e+00
2.400000000000000e+01	-0.000000e+00	2.400000e+01	0.000000e+00
2.600000000000000e+01	0.000000e+00	2.600000e+01	-0.000000e+00
2.800000000000000e+01	0.000000e+00	2.800000e+01	-0.000000e+00
3.000000000000000e+01	-0.000000e+00	3.000000e+01	0.000000e+00
Step Information: Vdd=2  (Step: 2/16)
0.000000000000000e+00	2.000000e+00	0.000000e+00	4.800076e-12
2.000000000000000e+00	1.503788e+00	2.000000e+00	4.963108e-02
4.000000000000000e+00	6.367795e-01	4.000000e+00	1.363219e-01
6.000000000000000e+00	6.151289e-01	6.000000e+00	1.384186e-01
8.000000000000000e+00	6.075254e-01	8.000000e+00	1.392475e-01
1.000000000000000e+01	6.036289e-01	1.000000e+01	1.396268e-01
1.200000000000000e+01	6.012622e-01	1.200000e+01	1.398720e-01
1.400000000000000e+01	5.996709e-01	1.400000e+01	1.400325e-01
1.600000000000000e+01	5.985278e-01	1.600000e+01	1.401471e-01
1.800000000000000e+01	5.976667e-01	1.800000e+01	1.402333e-01
2.000000000000000e+01	5.969949e-01	2.000000e+01	1.403005e-01
2.200000000000000e+01	5.964561e-01	2.200000e+01	1.403544e-01
2.400000000000000e+01	5.960143e-01	2.400000e+01	1.403986e-01
2.600000000000000e+01	5.956454e-01	2.600000e+01	1.404355e-01
2.800000000000000e+01	5.953329e-01	2.800000e+01	1.404667e-01
3.000000000000000e+01	5.950647e-01	3.000000e+01	1.404935e-01
Step Information: Vdd=4  (Step: 3/16)
0.000000000000000e+00	4.000000e+00	0.000000e+00	6.799809e-12
2.000000000000000e+00	3.503788e+00	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.287040e+00	4.000000e+00	2.712649e-01
6.000000000000000e+00	1.233490e+00	6.000000e+00	2.766509e-01
8.000000000000000e+00	1.216463e+00	8.000000e+00	2.783537e-01
1.000000000000000e+01	1.208046e+00	1.000000e+01	2.791396e-01
1.200000000000000e+01	1.203029e+00	1.200000e+01	2.796884e-01
1.400000000000000e+01	1.199692e+00	1.400000e+01	2.800286e-01
1.600000000000000e+01	1.197313e+00	1.600000e+01	2.802680e-01
1.800000000000000e+01	1.195531e+00	1.800000e+01	2.804467e-01
2.000000000000000e+01	1.194145e+00	2.000000e+01	2.805853e-01
2.200000000000000e+01	1.193038e+00	2.200000e+01	2.806961e-01
2.400000000000000e+01	1.192133e+00	2.400000e+01	2.807867e-01
2.600000000000000e+01	1.191378e+00	2.600000e+01	2.808622e-01
2.800000000000000e+01	1.190740e+00	2.800000e+01	2.809260e-01
3.000000000000000e+01	1.190194e+00	3.000000e+01	2.809806e-01
Step Information: Vdd=6  (Step: 4/16)
0.000000000000000e+00	6.000000e+00	0.000000e+00	8.799839e-12
2.000000000000000e+00	5.503788e+00	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.959229e+00	4.000000e+00	4.040643e-01
6.000000000000000e+00	1.855795e+00	6.000000e+00	4.144127e-01
8.000000000000000e+00	1.827016e+00	8.000000e+00	4.172982e-01
1.000000000000000e+01	1.813330e+00	1.000000e+01	4.184956e-01
1.200000000000000e+01	1.805343e+00	1.200000e+01	4.194413e-01
1.400000000000000e+01	1.800088e+00	1.400000e+01	4.199856e-01
1.600000000000000e+01	1.796370e+00	1.600000e+01	4.203612e-01
1.800000000000000e+01	1.793601e+00	1.800000e+01	4.206392e-01
2.000000000000000e+01	1.791458e+00	2.000000e+01	4.208539e-01
