vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/21)
0.000000000000000e+00	0.000000e+00	0.000000e+00	1.055422e-09
1.000000000000000e+00	0.000000e+00	1.000000e+00	0.000000e+00
2.000000000000000e+00	0.000000e+00	2.000000e+00	0.000000e+00
3.000000000000000e+00	0.000000e+00	3.000000e+00	0.000000e+00
4.000000000000000e+00	0.000000e+00	4.000000e+00	0.000000e+00
5.000000000000000e+00	0.000000e+00	5.000000e+00	0.000000e+00
6.000000000000000e+00	0.000000e+00	6.000000e+00	0.000000e+00
7.000000000000000e+00	-5.245793e-30	7.000000e+00	1.939579e-28
8.000000000000000e+00	-1.584869e-42	8.000000e+00	2.253113e-39
9.000000000000000e+00	7.861284e-43	9.000000e+00	-1.126557e-39
1.000000000000000e+01	0.000000e+00	1.000000e+01	-0.000000e+00
1.100000000000000e+01	-0.000000e+00	1.100000e+01	0.000000e+00
1.200000000000000e+01	-0.000000e+00	1.200000e+01	0.000000e+00
1.300000000000000e+01	0.000000e+00	1.300000e+01	-0.000000e+00
1.400000000000000e+01	0.000000e+00	1.400000e+01	-0.000000e+00
1.500000000000000e+01	-0.000000e+00	1.500000e+01	0.000000e+00
1.600000000000000e+01	-0.000000e+00	1.600000e+01	0.000000e+00
1.700000000000000e+01	0.000000e+00	1.700000e+01	-0.000000e+00
1.800000000000000e+01	0.000000e+00	1.800000e+01	-0.000000e+00
1.900000000000000e+01	-0.000000e+00	1.900000e+01	0.000000e+00
2.000000000000000e+01	-0.000000e+00	2.000000e+01	0.000000e+00
Step Information: Vdd=1  (Step: 2/21)
0.000000000000000e+00	1.000000e+00	0.000000e+00	6.032212e-12
1.000000000000000e+00	1.000000e+00	1.000000e+00	6.032256e-12
2.000000000000000e+00	1.000000e+00	2.000000e+00	2.153857e-08
3.000000000000000e+00	9.976134e-01	3.000000e+00	2.387063e+00
4.000000000000000e+00	8.620752e-01	4.000000e+00	1.379250e+02
5.000000000000000e+00	7.584164e-01	5.000000e+00	2.415809e+02
6.000000000000000e+00	7.292584e-01	6.000000e+00	2.707293e+02
7.000000000000000e+00	7.144901e-01	7.000000e+00	2.855099e+02
8.000000000000000e+00	7.054329e-01	8.000000e+00	2.944676e+02
9.000000000000000e+00	6.993048e-01	9.000000e+00	3.006695e+02
1.000000000000000e+01	6.948598e-01	1.000000e+01	3.051318e+02
1.100000000000000e+01	6.914864e-01	1.100000e+01	3.085103e+02
1.200000000000000e+01	6.888373e-01	1.200000e+01	3.111611e+02
1.300000000000000e+01	6.867013e-01	1.300000e+01	3.132980e+02
1.400000000000000e+01	6.849418e-01	1.400000e+01	3.150578e+02
1.500000000000000e+01	6.834673e-01	1.500000e+01	3.165325e+02
1.600000000000000e+01	6.822134e-01	1.600000e+01	3.177864e+02
1.700000000000000e+01	6.811341e-01	1.700000e+01	3.188658e+02
1.800000000000000e+01	6.801952e-01	1.800000e+01	3.198048e+02
1.900000000000000e+01	6.793709e-01	1.900000e+01	3.206291e+02
2.000000000000000e+01	6.786414e-01	2.000000e+01	3.213586e+02
Step Information: Vdd=2  (Step: 3/21)
0.000000000000000e+00	2.000000e+00	0.000000e+00	7.105427e-12
1.000000000000000e+00	2.000000e+00	1.000000e+00	7.105472e-12
2.000000000000000e+00	2.000000e+00	2.000000e+00	2.175283e-08
3.000000000000000e+00	1.997590e+00	3.000000e+00	2.410198e+00
4.000000000000000e+00	1.860960e+00	4.000000e+00	1.390406e+02
5.000000000000000e+00	1.579382e+00	5.000000e+00	4.202242e+02
6.000000000000000e+00	1.476856e+00	6.000000e+00	5.227727e+02
7.000000000000000e+00	1.438044e+00	7.000000e+00	5.619435e+02
8.000000000000000e+00	1.416310e+00	8.000000e+00	5.836899e+02
9.000000000000000e+00	1.402207e+00	9.000000e+00	5.976165e+02
1.000000000000000e+01	1.392296e+00	1.000000e+01	6.076517e+02
1.100000000000000e+01	1.384907e+00	1.100000e+01	6.150742e+02
1.200000000000000e+01	1.379180e+00	1.200000e+01	6.208119e+02
1.300000000000000e+01	1.374607e+00	1.300000e+01	6.253889e+02
1.400000000000000e+01	1.370870e+00	1.400000e+01	6.291282e+02
1.500000000000000e+01	1.367757e+00	1.500000e+01	6.322424e+02
1.600000000000000e+01	1.365123e+00	1.600000e+01	6.348768e+02
1.700000000000000e+01	1.362865e+00	1.700000e+01	6.371349e+02
1.800000000000000e+01	1.360907e+00	1.800000e+01	6.390924e+02
1.900000000000000e+01	1.359194e+00	1.900000e+01	6.408057e+02
2.000000000000000e+01	1.357682e+00	2.000000e+01	6.423179e+02
Step Information: Vdd=3  (Step: 4/21)
0.000000000000000e+00	3.000000e+00	0.000000e+00	8.141636e-12
1.000000000000000e+00	3.000000e+00	1.000000e+00	8.141681e-12
2.000000000000000e+00	3.000000e+00	2.000000e+00	2.196706e-08
3.000000000000000e+00	2.997567e+00	3.000000e+00	2.433323e+00
4.000000000000000e+00	2.859848e+00	4.000000e+00	1.401523e+02
5.000000000000000e+00	2.563573e+00	5.000000e+00	4.364269e+02
6.000000000000000e+00	2.260295e+00	6.000000e+00	7.395458e+02
7.000000000000000e+00	2.174742e+00	7.000000e+00	8.247275e+02
8.000000000000000e+00	2.134232e+00	8.000000e+00	8.657269e+02
9.000000000000000e+00	2.109480e+00	9.000000e+00	8.897638e+02
1.000000000000000e+01	2.092760e+00	1.000000e+01	9.070469e+02
1.100000000000000e+01	2.080544e+00	1.100000e+01	9.193960e+02
1.200000000000000e+01	2.071215e+00	1.200000e+01	9.287606e+02
1.300000000000000e+01	2.063848e+00	1.300000e+01	9.361407e+02
1.400000000000000e+01	2.057878e+00	1.400000e+01	9.421166e+02
1.500000000000000e+01	2.052938e+00	1.500000e+01	9.470591e+02
1.600000000000000e+01	2.048781e+00	1.600000e+01	9.512172e+02
1.700000000000000e+01	2.045234e+00	1.700000e+01	9.547654e+02
1.800000000000000e+01	2.042170e+00	1.800000e+01	9.578294e+02
1.900000000000000e+01	2.039497e+00	1.900000e+01	9.605026e+02
2.000000000000000e+01	2.037144e+00	2.000000e+01	9.628556e+02
Step Information: Vdd=4  (Step: 5/21)
0.000000000000000e+00	4.000000e+00	0.000000e+00	9.177843e-12
1.000000000000000e+00	4.000000e+00	1.000000e+00	9.177889e-12
2.000000000000000e+00	4.000000e+00	2.000000e+00	2.218129e-08
3.000000000000000e+00	3.997544e+00	3.000000e+00	2.456439e+00
4.000000000000000e+00	3.858740e+00	4.000000e+00	1.412602e+02
5.000000000000000e+00	3.560541e+00	5.000000e+00	4.394593e+02
6.000000000000000e+00	3.162245e+00	6.000000e+00	8.388355e+02
7.000000000000000e+00	2.933076e+00	7.000000e+00	1.065980e+03
8.000000000000000e+00	2.861737e+00	8.000000e+00	1.137828e+03
9.000000000000000e+00	2.822454e+00	9.000000e+00	1.177545e+03
1.000000000000000e+01	2.796829e+00	1.000000e+01	1.202608e+03
1.100000000000000e+01	2.778744e+00	1.100000e+01	1.221087e+03
1.200000000000000e+01	2.765166e+00	1.200000e+01	1.234775e+03
1.300000000000000e+01	2.754576e+00	1.300000e+01	1.245398e+03
1.400000000000000e+01	2.746074e+00	1.400000e+01	1.253914e+03
1.500000000000000e+01	2.739091e+00	1.500000e+01	1.260903e+03
1.600000000000000e+01	2.733249e+00	1.600000e+01	1.266747e+03
1.700000000000000e+01	2.728287e+00	1.700000e+01	1.271710e+03
1.800000000000000e+01	2.724020e+00	1.800000e+01	1.275979e+03
1.900000000000000e+01	2.720309e+00	1.900000e+01	1.279690e+03
2.000000000000000e+01	2.717052e+00	2.000000e+01	1.282948e+03
Step Information: Vdd=5  (Step: 6/21)
0.000000000000000e+00	5.000000e+00	0.000000e+00	1.006602e-11
1.000000000000000e+00	5.000000e+00	1.000000e+00	1.006607e-11
2.000000000000000e+00	5.000000e+00	2.000000e+00	2.239537e-08
3.000000000000000e+00	4.997521e+00	3.000000e+00	2.479546e+00
4.000000000000000e+00	4.857636e+00	4.000000e+00	1.423644e+02
5.000000000000000e+00	4.557524e+00	5.000000e+00	4.424763e+02
6.000000000000000e+00	4.157029e+00	6.000000e+00	8.440656e+02
7.000000000000000e+00	3.736011e+00	7.000000e+00	1.262615e+03
