Spreadsheet Format,,,,,,,,,,,,,,,,,,,,,
Test Program:,TLV70233_FT_1SITE_A0_TW (default) No Version#,,,,,,,,,,,,,,,,,,,,,
Lot ID:,04,,,,,,,,,,,,,,,,,,,,,
Operator:,1,,,,,,,,,,,,,,,,,,,,,
Computer:,T861-100,,,,,,,,,,,,,,,,,,,,,
Date:,11/04/24 10:46:45,,,,,,,,,,,,,,,,,,,,,
,,,,1.01.01,1.01.02,1.01.03,1.02.01,1.02.02,1.02.03,1.02.04,1.03.01,1.03.02,1.03.03,1.03.04,1.04.01,1.04.02,1.04.03,1.04.04,1.05.01,1.05.02,1.06.01,1.07.01,1.07.02,1.07.03
,,,,os_vin,os_en,os_vout,iq_noload,iq_load,ishan,ileckage,vout,vdropout,LNR,LDR,vin_H,vin_L,ven_H,ven_L,Ilimit,Ishort,Tstartup,os_vin,os_en,os_vout

,,,,-0.2000   ,-0.2000   ,-0.2000   ,50.0000   ,0.0005    ,2.0000    ,2.0000    ,3.3660    ,500.0000  ,1.0000    ,1.0000    ,2.1000    ,2.0000    ,0.9000    ,0.8000    ,860.0000  ,860.0000  ,200.0000  ,-0.2000   ,-0.2000   ,-0.2000   
,,,,-0.8000   ,-0.8000   ,-0.8000   ,20.0000   ,0.0002    ,0.0000,0.0000,3.2340    ,200.0000  ,-1.0000   ,-1.0000   ,1.8000    ,1.7000    ,0.5000    ,0.4000    ,320.0000  ,320.0000  ,50.0000   ,-0.8000   ,-0.8000   ,-0.8000   
Serial#,Bin#,Site#,Test Time(ms), V, V, V,uA, A,uA,uA, V,mV, %, %, V, V, V, V,mA,mA,uS, V, V, V
1,1,1,44.001 ,-0.4626   ,-0.4642   ,-0.4745   ,34.9061   ,,1.7008    ,1.6976    ,3.3067    ,354.9404  ,0.0000,0.0489    ,2.0000    ,1.7000    ,0.7000    ,0.6000    ,519.9998  ,521.8741  ,101.0029  ,-0.4511   ,-0.4541   ,-0.4635   
2,1,1,43.986 ,-0.4531   ,-0.4559   ,-0.4653   ,35.8249   ,,1.7139    ,1.7106    ,3.3072    ,358.0515  ,0.0000,0.0497    ,2.0000    ,1.7000    ,0.7000    ,0.6000    ,519.9998  ,523.1834  ,101.0931  ,-0.4486   ,-0.4520   ,-0.4610   
3,1,1,44.059 ,-0.4504   ,-0.4536   ,-0.4627   ,36.1084   ,,1.7334    ,1.6617    ,3.3074    ,358.9368  ,0.0000    ,0.0407    ,2.0000    ,1.7000    ,0.7000    ,0.6000    ,519.9998  ,523.9258  ,101.0901  ,-0.4476   ,-0.4510   ,-0.4600   
4,1,1,43.995 ,-0.4495   ,-0.4528   ,-0.4619   ,36.1442   ,,1.7627    ,1.6813    ,3.3075    ,359.3595  ,0.0000    ,0.0453    ,2.0000    ,1.7000    ,0.7000    ,0.6000    ,519.9998  ,524.2308  ,101.1290  ,-0.4469   ,-0.4506   ,-0.4595   
5,1,1,44.019 ,-0.4489   ,-0.4523   ,-0.4613   ,36.0106   ,,1.6845    ,1.7921    ,3.3075    ,359.4632  ,0.0000    ,0.0421    ,2.0000    ,1.7000    ,0.7000    ,0.6000    ,519.9998  ,524.2375  ,101.1672  ,-0.4467   ,-0.4502   ,-0.4592   
