TEXT REPORT

Test Program: TLV70233_FT_1SITE_A0_TW (default) No Version#
Lot ID: 04
Operator: 1
Computer: T861-100

Date: 11/04/24 10:46:31 

Serial Number: 1
|Test#   |Test Name       |  Value      |P/F|Unit    |Min Limit     |Max Limit     |  Notes       |           
|1.01.01 |os_vin          |      -0.4626| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.02 |os_en           |      -0.4642| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.03 |os_vout         |      -0.4745| 1 |  V     |       -0.8000|       -0.2000|              |
|1.02.01 |iq_noload       |      34.9061| 1 | uA     |       20.0000|       50.0000|              |
|1.02.03 |ishan           |       1.7008| 1 | uA     |        0.0000|        2.0000|              |
|1.02.04 |ileckage        |       1.6976| 1 | uA     |        0.0000|        2.0000|              |
|1.03.01 |vout            |       3.3067| 1 |  V     |        3.2340|        3.3660|              |
|1.03.02 |vdropout        |     354.9404| 1 | mV     |      200.0000|      500.0000|              |
|1.03.03 |LNR             |       0.0000| 1 |  %     |       -1.0000|        1.0000|              |
|1.03.04 |LDR             |       0.0489| 1 |  %     |       -1.0000|        1.0000|              |
|1.04.01 |vin_H           |       2.0000| 1 |  V     |        1.8000|        2.1000|              |
|1.04.02 |vin_L           |       1.7000| 1 |  V     |        1.7000|        2.0000|              |
|1.04.03 |ven_H           |       0.7000| 1 |  V     |        0.5000|        0.9000|              |
|1.04.04 |ven_L           |       0.6000| 1 |  V     |        0.4000|        0.8000|              |
|1.05.01 |Ilimit          |     519.9998| 1 | mA     |      320.0000|      860.0000|              |
|1.05.02 |Ishort          |     521.8741| 1 | mA     |      320.0000|      860.0000|              |
|1.06.01 |Tstartup        |     101.0029| 1 | uS     |       50.0000|      200.0000|              |
|1.07.01 |os_vin          |      -0.4511| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.02 |os_en           |      -0.4541| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.03 |os_vout         |      -0.4635| 1 |  V     |       -0.8000|       -0.2000|              |

Serial Number: 2
|Test#   |Test Name       |  Value      |P/F|Unit    |Min Limit     |Max Limit     |  Notes       |           
|1.01.01 |os_vin          |      -0.4531| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.02 |os_en           |      -0.4559| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.03 |os_vout         |      -0.4653| 1 |  V     |       -0.8000|       -0.2000|              |
|1.02.01 |iq_noload       |      35.8249| 1 | uA     |       20.0000|       50.0000|              |
|1.02.03 |ishan           |       1.7139| 1 | uA     |        0.0000|        2.0000|              |
|1.02.04 |ileckage        |       1.7106| 1 | uA     |        0.0000|        2.0000|              |
|1.03.01 |vout            |       3.3072| 1 |  V     |        3.2340|        3.3660|              |
|1.03.02 |vdropout        |     358.0515| 1 | mV     |      200.0000|      500.0000|              |
|1.03.03 |LNR             |       0.0000| 1 |  %     |       -1.0000|        1.0000|              |
|1.03.04 |LDR             |       0.0497| 1 |  %     |       -1.0000|        1.0000|              |
|1.04.01 |vin_H           |       2.0000| 1 |  V     |        1.8000|        2.1000|              |
|1.04.02 |vin_L           |       1.7000| 1 |  V     |        1.7000|        2.0000|              |
|1.04.03 |ven_H           |       0.7000| 1 |  V     |        0.5000|        0.9000|              |
|1.04.04 |ven_L           |       0.6000| 1 |  V     |        0.4000|        0.8000|              |
|1.05.01 |Ilimit          |     519.9998| 1 | mA     |      320.0000|      860.0000|              |
|1.05.02 |Ishort          |     523.1834| 1 | mA     |      320.0000|      860.0000|              |
|1.06.01 |Tstartup        |     101.0931| 1 | uS     |       50.0000|      200.0000|              |
|1.07.01 |os_vin          |      -0.4486| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.02 |os_en           |      -0.4520| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.03 |os_vout         |      -0.4610| 1 |  V     |       -0.8000|       -0.2000|              |

Serial Number: 3
|Test#   |Test Name       |  Value      |P/F|Unit    |Min Limit     |Max Limit     |  Notes       |           
|1.01.01 |os_vin          |      -0.4504| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.02 |os_en           |      -0.4536| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.03 |os_vout         |      -0.4627| 1 |  V     |       -0.8000|       -0.2000|              |
|1.02.01 |iq_noload       |      36.1084| 1 | uA     |       20.0000|       50.0000|              |
|1.02.03 |ishan           |       1.7334| 1 | uA     |        0.0000|        2.0000|              |
|1.02.04 |ileckage        |       1.6617| 1 | uA     |        0.0000|        2.0000|              |
|1.03.01 |vout            |       3.3074| 1 |  V     |        3.2340|        3.3660|              |
|1.03.02 |vdropout        |     358.9368| 1 | mV     |      200.0000|      500.0000|              |
|1.03.03 |LNR             |       0.0000| 1 |  %     |       -1.0000|        1.0000|              |
|1.03.04 |LDR             |       0.0407| 1 |  %     |       -1.0000|        1.0000|              |
|1.04.01 |vin_H           |       2.0000| 1 |  V     |        1.8000|        2.1000|              |
|1.04.02 |vin_L           |       1.7000| 1 |  V     |        1.7000|        2.0000|              |
|1.04.03 |ven_H           |       0.7000| 1 |  V     |        0.5000|        0.9000|              |
|1.04.04 |ven_L           |       0.6000| 1 |  V     |        0.4000|        0.8000|              |
|1.05.01 |Ilimit          |     519.9998| 1 | mA     |      320.0000|      860.0000|              |
|1.05.02 |Ishort          |     523.9258| 1 | mA     |      320.0000|      860.0000|              |
|1.06.01 |Tstartup        |     101.0901| 1 | uS     |       50.0000|      200.0000|              |
|1.07.01 |os_vin          |      -0.4476| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.02 |os_en           |      -0.4510| 1 |  V     |       -0.8000|       -0.2000|              |
|1.07.03 |os_vout         |      -0.4600| 1 |  V     |       -0.8000|       -0.2000|              |

Serial Number: 4
|Test#   |Test Name       |  Value      |P/F|Unit    |Min Limit     |Max Limit     |  Notes       |           
|1.01.01 |os_vin          |      -0.4495| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.02 |os_en           |      -0.4528| 1 |  V     |       -0.8000|       -0.2000|              |
|1.01.03 |os_vout         |      -0.4619| 1 |  V     |       -0.8000|       -0.2000|              |
|1.02.01 |iq_noload       |      36.1442| 1 | uA     |       20.0000|       50.0000|              |
|1.02.03 |ishan           |       1.7627| 1 | uA     |        0.0000|        2.0000|              |
|1.02.04 |ileckage        |       1.6813| 1 | uA     |        0.0000|        2.0000|              |
|1.03.01 |vout            |       3.3075| 1 |  V     |        3.2340|        3.3660|              |
|1.03.02 |vdropout        |     359.3595| 1 | mV     |      200.0000|      500.0000|              |
|1.03.03 |LNR             |       0.0000| 1 |  %     |       -1.0000|        1.0000|              |
|1.03.04 |LDR             |       0.0453| 1 |  %     |       -1.0000|        1.0000|              |
|1.04.01 |vin_H           |       2.0000| 1 |  V     |        1.8000|        2.1000|              |
